Item,Serving Size (g),Calories,Total Fat,Protein
Egg McMuffin,136,300,13,17
Egg White Delight,135,250,8,18
Sausage McMuffin,111,370,23,14
Sausage McMuffin with Egg,161,450,28,21
Sausage McMuffin with Egg Whites,161,400,23,21
Steak & Egg McMuffin,185,430,23,26
"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",150,460,26,19
"Bacon, Egg & Cheese Biscuit (Large Biscuit)",164,520,30,19
"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",153,410,20,20
"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",167,470,25,20
Sausage Biscuit (Regular Biscuit),117,430,27,11
Sausage Biscuit (Large Biscuit),131,480,31,11
Sausage Biscuit with Egg (Regular Biscuit),163,510,33,18
Sausage Biscuit with Egg (Large Biscuit),177,570,37,18
Sausage Biscuit with Egg Whites (Regular Biscuit),167,460,27,18
Sausage Biscuit with Egg Whites (Large Biscuit),181,520,32,18
Southern Style Chicken Biscuit (Regular Biscuit),143,410,20,17
Southern Style Chicken Biscuit (Large Biscuit),157,470,24,17
Steak & Egg Biscuit (Regular Biscuit),201,540,32,25
"Bacon, Egg & Cheese McGriddles",174,460,21,19
"Bacon, Egg & Cheese McGriddles with Egg Whites",178,400,15,20
Sausage McGriddles,141,420,22,11
"Sausage, Egg & Cheese McGriddles",201,550,31,20
"Sausage, Egg & Cheese McGriddles with Egg Whites",205,500,26,21
"Bacon, Egg & Cheese Bagel",197,620,31,30
"Bacon, Egg & Cheese Bagel with Egg Whites",201,570,25,30
"Steak, Egg & Cheese Bagel",241,670,35,33
Big Breakfast (Regular Biscuit),269,740,48,28
Big Breakfast (Large Biscuit),283,800,52,28
Big Breakfast with Egg Whites (Regular Biscuit),272,640,37,26
Big Breakfast with Egg Whites (Large Biscuit),286,690,41,26
Big Breakfast with Hotcakes (Regular Biscuit),420,1090,56,36
Big Breakfast with Hotcakes (Large Biscuit),434,1150,60,36
Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),423,990,46,35
Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),437,1050,50,35
Hotcakes,151,350,9,8
Hotcakes and Sausage,192,520,24,15
Sausage Burrito,111,300,16,12
Hash Brown,56,150,9,1
Cinnamon Melts,114,460,19,6
Fruit & Maple Oatmeal,251,290,4,5
Fruit & Maple Oatmeal without Brown Sugar,251,260,4,5
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
